-----------------------------------------------------------------------------------------------------------
+--------+----------+----------+------------------------------------+------+----------+-----------+--------------+-------------+----------+---------------------------------------------------+
|accuracy|accuracy_x|accuracy_y|address                             |id    |lat       |lng        |speed         |time         |types     |uuid                                               |
|5.0     |null      |null      |null                                |969720|37.0519089|127.0477795|8.100435      |1585727731124|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|4.0     |null      |null      |null                                |969721|37.0518991|127.0476541|5.655388      |1585727733189|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|4.0     |null      |null      |null                                |969722|37.0518909|127.0475838|3.8356688     |1585727735124|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|4.0     |null      |null      |null                                |969723|37.0518873|127.0475455|0.20499162    |1585727737119|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|4.0     |null      |null      |null                                |969724|37.0518872|127.0475616|0.0033854598  |1585727739119|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|4.313   |null      |null      |null                                |969725|37.0518872|127.0475671|0.001561063   |1585727741165|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|4.646   |null      |null      |null                                |969726|37.0518872|127.0475681|2.1808503E-4  |1585727743134|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|4.554   |null      |null      |null                                |969727|37.0518872|127.0475684|6.484156E-5   |1585727745113|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|4.883   |null      |null      |null                                |969728|37.0518872|127.0475685|1.8530533E-5  |1585727747147|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|4.471   |null      |null      |null                                |969729|37.0518872|127.0475685|3.9340953E-6  |1585727749115|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|4.486   |null      |null      |null                                |969730|37.0518872|127.0475685|1.6175088E-6  |1585727751112|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|5.153   |null      |null      |null                                |969731|37.0518872|127.0475685|1.9595115E-7  |1585727753118|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|5.819   |null      |null      |null                                |969732|37.0518872|127.0475685|6.415652E-8   |1585727755128|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|6.97    |null      |null      |null                                |969733|37.0518872|127.0475685|1.6151528E-8  |1585727757132|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|7.465   |null      |null      |null                                |969734|37.0518872|127.0475685|8.203124E-9   |1585727759116|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|7.318   |null      |null      |null                                |969735|37.0518872|127.0475685|1.9984172E-9  |1585727761116|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|6.018   |null      |null      |null                                |969736|37.0518746|127.0475817|0.034683812   |1585727763091|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|5.004   |null      |null      |null                                |969737|37.0518707|127.0475844|0.02033893    |1585727765135|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|3.983   |null      |null      |null                                |969738|37.051869 |127.0475852|0.037657797   |1585727767108|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|4.147   |null      |null      |null                                |969739|37.0518685|127.0475853|0.023207812   |1585727769112|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|4.106   |null      |null      |null                                |969740|37.051869 |127.047586 |0.04063513    |1585727771082|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|4.29    |null      |null      |null                                |969741|37.0518705|127.0475847|0.16669708    |1585727773084|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|4.54    |null      |null      |null                                |969742|37.0518748|127.0475787|0.15990712    |1585727775529|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|4.54    |null      |null      |null                                |969743|37.0518774|127.0475773|0.014355967   |1585727777105|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|4.54    |null      |null      |null                                |969744|37.0518788|127.0475767|0.035132784   |1585727779087|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|4.425   |null      |null      |null                                |969745|37.0518795|127.0475764|0.038443714   |1585727781136|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|4.425   |null      |null      |null                                |969746|37.0518795|127.0475764|0.030001935   |1585727783108|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|4.621   |null      |null      |null                                |969747|37.0518793|127.0475783|0.023255762   |1585727785546|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
|4.621   |null      |null      |null                                |969748|37.0518792|127.0475798|0.090633385   |1585727787082|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 16:55:19|
